ID,Duplicates,Commons model allows,Notes,Session date,Evidence,Name,Organisation,Role ,Member/Witness,"Reference (Question, page, line)",Competency,RMFI category,Other reason for inclusion ,Notes.1,Link
O38,,No,Need to aggregate in code,2022-01-26,Oral,"Stone, Kathyrn",House of Commons,Parliamentary Commissioner for Standards,Witness,Q307,Were the gifts and hospitality registered within 28 days / What timeframe were the gifts and hospitality registered within ,Gifts benefits and hospitality from UK sources,,,https://committees.parliament.uk/oralevidence/3346/pdf/
O39,O2,Duplicate,,2022-01-26,Oral,"Stone, Kathyrn",House of Commons,Parliamentary Commissioner for Standards,Witness,Q311,Conflict between RMFI and Ministerial register,Multiple/all categories,,"Different degrees of scrutiny and requirement for each list - results in inconsistency if backbench MPs and ministers attend the same event, backbenchers are held to greater account despite probably having lesser responsibility for decision making in that area",https://committees.parliament.uk/oralevidence/3346/pdf/
O40,,No,Conversative chairs and deputies of party under miscellaneous but no figure,2022-01-26,Oral,"Davies, James",House of Commons,Registrar of Members' Financial Interests,Witness,Q332,Is employment or earning from a political party,Employment and earnings,,,https://committees.parliament.uk/oralevidence/3346/pdf/
O41,,No,,2022-01-26,Oral,"Davies, James",House of Commons,Registrar of Members' Financial Interests,Witness,Q333,Is the donation from a political party ,Donations and other support,,"Data not in current ruleset. If it was a requirement to register salaries from political parties, should this also be extended to donations.",https://committees.parliament.uk/oralevidence/3346/pdf/
O42,,No,,2022-01-26,Oral,"Davies, James",House of Commons,Registrar of Members' Financial Interests,Witness,Q339,"What information is the Member required to submit as part of the registration process, but which is not published ",Donations and other support,Compliance ,,https://committees.parliament.uk/oralevidence/3346/pdf/
O43,,No,,2022-01-26,Oral,"Davies, James",House of Commons,Registrar of Members' Financial Interests,Witness,Q340,What is the status or relationship of the donor to the Member,Donations and other support,,,https://committees.parliament.uk/oralevidence/3346/pdf/
O44,,No,,2022-01-26,Oral,"Davies, James",House of Commons,Registrar of Members' Financial Interests,Witness,Q341,"How can the format of the register be enhanced to capture additional information in a concise, but transparent way",,"Data capture, storage and standards ","Discusses the way information for questions raised in Q339 and Q340 could be captured (e.g. online registration vs emails, additional free text fields)",https://committees.parliament.uk/oralevidence/3346/pdf/
O45,,No,Declarations not registrations,2022-01-26,Oral,"Davies, James",House of Commons,Registrar of Members' Financial Interests,Witness,Q342-345,Which members have declared an interest during topical or supplementary questions,Multiple/all categories,Linking to other data sets or systems ,"Data not in current ruleset. Discusses whether Members should be required to declare relevant
interests during topical or supplementary questions, now that they are longer",https://committees.parliament.uk/oralevidence/3346/pdf/
O46,O4,Duplicate,,2022-01-26,Oral,"Stone, Kathyrn",House of Commons,Parliamentary Commissioner for Standards,Witness,Q350,What are the number of hours spent on second jobs,Employment and earnings,,,https://committees.parliament.uk/oralevidence/3346/pdf/
O47,O23,Duplicate,,2022-01-26,Oral,"Stone, Kathyrn",House of Commons,Parliamentary Commissioner for Standards,Witness,Q350,What is the salary earnt on second jobs,Employment and earnings,,,https://committees.parliament.uk/oralevidence/3346/pdf/
O48,O33,Duplicate,,2022-01-26,Oral,"Stone, Kathyrn",House of Commons,Parliamentary Commissioner for Standards,Witness,Q350,What number of Members second job is allied to their previous experience,Employment and earnings,,,https://committees.parliament.uk/oralevidence/3346/pdf/
O49,O35,Duplicate,,2022-01-26,Oral,"Stone, Kathyrn",House of Commons,Parliamentary Commissioner for Standards,Witness,Q350,Does the employment complement a members parliamentary role and responsibilities.,Employment and earnings,,,https://committees.parliament.uk/oralevidence/3346/pdf/
W1,,No,,2021-12-14,Written,"Rich, Harry",Office of the Registrar of Consultant Lobbyists,Registrar of Consultant Lobbyists ,Witness,,"Link members interests with same organisation registered under the Transparency of Lobbying, Non-Party Campaigning and Trade Union Administration Act 2014  and/or MCoC",Employment and earnings,Linked data different requirements definitions of lobbying under Transparency of Lobbying Act and the MCoC.,"
Identify instances where Member is a paid advisor or consultant to an organisation but hasn't registered the interest because a meeting he might have with a Minister is demonstrably NOT about ‘financial or material benefit’ to the paying
organisation. For example, it is about offering free services or advice to government.",https://committees.parliament.uk/writtenevidence/41838/default/
W2,,No,,2022-01-26,Written,"Evans of Weardale, Lord",Committee on Standards in Public Life,Chair ,Witness,p1,Is employment or earnings above or below the indicative limit of hours and remuneration considered reasonable,Employment and earnings,,,https://committees.parliament.uk/writtenevidence/43020/pdf/
W3,O35,Duplicate,,2022-01-26,Written,"Evans of Weardale, Lord",Committee on Standards in Public Life,Chair ,Witness,p6,Does the employment complement a members parliamentary role and responsibilities.,Employment and earnings,,,https://committees.parliament.uk/writtenevidence/43020/pdf/
W4,O27,Duplicate,,2022-01-26,Written,"Evans of Weardale, Lord",Committee on Standards in Public Life,Chair ,Witness,p6,Is the outside employment required to maintain a certain number of hours to uphold a professional registration held prior to becoming an MP.,Employment and earnings,,,https://committees.parliament.uk/writtenevidence/43020/pdf/
W5,,No,As free text on job title,2022-01-26,Written,"Evans of Weardale, Lord",Committee on Standards in Public Life,Chair ,Witness,p7,"Is the paid work to provide services as a parliamentary strategist, adviser or consultant.",Employment and earnings,,To help identify banned services,https://committees.parliament.uk/writtenevidence/43020/pdf/
W6,O32,Duplicate,,2022-01-26,Written,"Evans of Weardale, Lord",Committee on Standards in Public Life,Chair ,Witness,p7,Where are non-pecuniary roles declared and registered,Employment and earnings,Linking to declaration to non-pecuniary roles,"If proposal accepted that all non-pecuniary roles be declared and registered, are these published in the RMFI or different place",https://committees.parliament.uk/writtenevidence/43020/pdf/
W7,,No,Not required in current ruleset,2022-01-26,Written,"Evans of Weardale, Lord",Committee on Standards in Public Life,Chair ,Witness,p9,Was the member acting as government trade envoy,Gifts benefits and hospitality from UK sources,,,https://committees.parliament.uk/writtenevidence/43020/pdf/
W8,O2,Duplicate,,2022-01-26,Written,"Evans of Weardale, Lord",Committee on Standards in Public Life,Chair ,Witness,p9,Relationship between the Ministerial Code and the MCoC,Multiple/all categories,Different data requirements,Alignment (publishing frequency) and a single database,https://committees.parliament.uk/writtenevidence/43020/pdf/
W9,,No,Only for paid roles. No hours for unpaid work,2022-02-08,Written,"Poulter, Dan",House of Commons,Members,Witness,p1,"
How much time is spent on additional elected roles (e.g. local councillors, leaders of local authorities, members of the Scottish
Parliament and/or metro mayors)",Employment and earnings,,,https://committees.parliament.uk/writtenevidence/43674/pdf/
W10,O27,Duplicate,,2022-02-08,Written,"Poulter, Dan",House of Commons,Members,Witness,p2,Is the outside employment required to maintain a certain number of hours to uphold a professional registration held prior to becoming an MP.,Employment and earnings,,Particularly relevant for doctors,https://committees.parliament.uk/writtenevidence/43674/pdf/
W11,O41,Duplicate,,2022-03-15,Written,"Baron, John",House of Commons,Members,Witness,p2,Is employment or earning from a political party,Employment and earnings,,,https://committees.parliament.uk/writtenevidence/43738/pdf/
W12,,No,Depends on what's built,2022-03-15,Written,"Worthy, Ben; Morgan, Cat; Crepaz, Michele ",Birkbeck College; Birkbeck College; Queen's University Belfast,Senior Lecturer; Research Associate; Vice Chancellor Illuminate Fellow in Political Science,Witness,p1,Is the register machine readable,Multiple/all categories,"Data capture, storage and standards ",,https://committees.parliament.uk/writtenevidence/43760/pdf/
W13,,No,Depends on what's built,2022-03-15,Written,"Worthy, Ben; Morgan, Cat; Crepaz, Michele ",Birkbeck College; Birkbeck College; Queen's University Belfast,Senior Lecturer; Research Associate; Vice Chancellor Illuminate Fellow in Political Science,Witness,p1,Can the data held in the register be exported in multiple formats,Multiple/all categories,"Data capture, storage and standards ",,https://committees.parliament.uk/writtenevidence/43760/pdf/
W14,,No,Depends on what's built,2022-03-15,Written,"Worthy, Ben; Morgan, Cat; Crepaz, Michele ",Birkbeck College; Birkbeck College; Queen's University Belfast,Senior Lecturer; Research Associate; Vice Chancellor Illuminate Fellow in Political Science,Witness,p1,Can the data held in the register be downloaded in bulk,Multiple/all categories,"Data capture, storage and standards ",,https://committees.parliament.uk/writtenevidence/43760/pdf/
W15,,No,Companies House for some categories,2022-03-15,Written,"Worthy, Ben; Morgan, Cat; Crepaz, Michele ",Birkbeck College; Birkbeck College; Queen's University Belfast,Senior Lecturer; Research Associate; Vice Chancellor Illuminate Fellow in Political Science,Witness,p1,Is the data linked to other external data sets,Multiple/all categories,Linking to other data sets or systems ,,https://committees.parliament.uk/writtenevidence/43760/pdf/
W16,,No,Depends on what's built,2022-03-15,Written,"Worthy, Ben; Morgan, Cat; Crepaz, Michele ",Birkbeck College; Birkbeck College; Queen's University Belfast,Senior Lecturer; Research Associate; Vice Chancellor Illuminate Fellow in Political Science,Witness,p1,Which standards are used to manage and maintain the quality of the data,Multiple/all categories,"Data capture, storage and standards ",Looks at using standards to improve the data set and make it more easily queryable for users,https://committees.parliament.uk/writtenevidence/43760/pdf/
W17,,No,In kind usually describes. Cash less so,2022-03-15,Written,Anonymised,NA ,,Witness,p1,What is the purpose/intended use of the donation or gift,Donations and other support; Gifts benefits and hospitality from UK sources,,,https://committees.parliament.uk/writtenevidence/43776/pdf/
W18,O4,Duplicate,,2022-03-15,Written,NA ,Compassion in Politics,,Witness,p4,What are the number of hours spent on second jobs,Employment and earnings,,,https://committees.parliament.uk/writtenevidence/106940/pdf/
W19,W5,Duplicate,,2022-03-15,Written,"Bell, Aaron",House of Commons,Members,Witness,p3,"Is the paid work to provide services as a parliamentary strategist, adviser or consultant.",Employment and earnings,,,https://committees.parliament.uk/writtenevidence/106605/pdf/
W20,O33,Duplicate,,2022-03-15,Written,"Bell, Aaron",House of Commons,Members,Witness,p3,What number of Members second job is allied to their previous experience,Employment and earnings,,,https://committees.parliament.uk/writtenevidence/106605/pdf/
W21,O19,Duplicate,,2022-03-15,Written,"Bell, Aaron",House of Commons,Members,Witness,p4,How often is the information gathered/published (timeliness),Multiple/all categories,"Data capture, storage and standards ",,https://committees.parliament.uk/writtenevidence/106605/pdf/
W22,,No,Registration not declaration,2022-03-15,Written,"Grant, Peter",House of Commons,Members,Witness,p1,Which declaration in the House business does the interest relate to,Multiple/all categories,Linking to other data sets or systems ,"Discusses the usefulness of the register linking to the relevant declaration (in say Q&A, Hansard etc.) and the requirement for Members to declare the specific interest rather than just pointing to the register",https://committees.parliament.uk/writtenevidence/106970/pdf/
W24,,No,,2022-03-15,Written,"Grant, Peter",House of Commons,Members,Witness,p1,How many foreign visits were sponsored by foreign governments,Visits outside the UK,,,https://committees.parliament.uk/writtenevidence/106970/pdf/
W25,,No,,2022-03-15,Written,"Grant, Peter",House of Commons,Members,Witness,p1,Which overseas visits were related to the work of APPGs ,Visits outside the UK,,,https://committees.parliament.uk/writtenevidence/106970/pdf/
W26,,No,,2022-03-15,Written,"Grant, Peter",House of Commons,Members,Witness,p1,Which members have undertaken foreign trips as part of APPG delegations,Visits outside the UK,,,https://committees.parliament.uk/writtenevidence/106970/pdf/
W27,O3 / O3A,Duplicate,,2022-03-15,Written,"Grant, Peter",House of Commons,Members,Witness,p2,How many family members employed and cost,Family members employed and paid from parliamentary expenses,,,https://committees.parliament.uk/writtenevidence/106970/pdf/
W28,W22,Duplicate,,2022-03-15,Written,"Dyer, Henry",Insider,,Witness,p1,Which declaration in the House business does the interest relate to,Multiple/all categories,Linking to other data sets or systems ,Declarations during select committees and proceedings held elsewhere than the floor of the House ,https://committees.parliament.uk/writtenevidence/106976/pdf/
W29,O33,Duplicate,,2022-03-15,Written,"Dunne, Philip",House of Commons,Members,Witness,p1-2,What number of Members second job is allied to their previous experience,Employment and earnings,,,https://committees.parliament.uk/writtenevidence/106978/pdf/
W30,O35,Duplicate,,2022-03-15,Written,"Dunne, Philip",House of Commons,Members,Witness,p1-2,Does the employment complement a members parliamentary role and responsibilities.,Employment and earnings,,,https://committees.parliament.uk/writtenevidence/106978/pdf/
W31,O27,Duplicate,,2022-03-15,Written,,Plaid Cymru,,Witness,p1,Is the outside employment required to maintain a certain number of hours to uphold a professional registration held prior to becoming an MP.,Employment and earnings,,,https://committees.parliament.uk/writtenevidence/43767/pdf/
W32,O35,Duplicate,,2022-03-15,Written,,Plaid Cymru,,Witness,p1,Does the employment complement a members parliamentary role and responsibilities.,Employment and earnings,,,https://committees.parliament.uk/writtenevidence/43767/pdf/
W33,W22,Duplicate,,2022-03-15,Written,,Plaid Cymru,,Witness,p1,Which declaration in the House business does the interest relate to,Multiple/all categories,Linking to other data sets or systems ,"Discusses the usefulness of the register linking to the relevant declaration (in say Q&A, Hansard etc.) and the requirement for Members to declare the specific interest rather than just pointing to the register before initiating or participating in proceedings. Extends this to WPQs and EDMs. ",https://committees.parliament.uk/writtenevidence/43767/pdf/
W34,O10,Duplicate,,2022-03-15,Written,"Penrose, John",House of Commons,Members,Witness,p3,"What is the company name employing a Member, what category of business is it and within which industry do they operate",Employment and earnings,,,https://committees.parliament.uk/writtenevidence/106607/default/
W35,W16,Duplicate,,2022-03-15,Written,"Penrose, John",House of Commons,Members,Witness,p3,Are all the registers published in the same format to the same standards,Multiple/all categories,"Data capture, storage and standards ","Discusses the benefit of extending this approach to the following registers to improve ability to query across data sets:  
• Public reports of Ministerial and Permanent Secretary civil servant meetings
• The Register of Consultant Lobbyists.
• The Register of Members’ Interests
• Electoral Commission’s reports on political party donors",https://committees.parliament.uk/writtenevidence/106607/default/
W36,W19,Duplicate,,2022-03-15,Written,"Penrose, John",House of Commons,Members,Witness,p3,"Is the paid work to provide services as a parliamentary strategist, adviser or consultant.",Employment and earnings,,,https://committees.parliament.uk/writtenevidence/106607/default/
W37,,No,,2022-03-15,Written,Anonymus MP (2),House of Commons,Members,Witness,p1,Which members own property and earn income in rent that meet rule thresholds,Land and property portfolio,,,https://committees.parliament.uk/writtenevidence/107005/pdf/
W38,O33,Duplicate,,2022-03-15,Written,Anonymus MP (2),House of Commons,Members,Witness,p1,What number of Members second job is allied to their previous experience,Employment and earnings,,,https://committees.parliament.uk/writtenevidence/107005/pdf/
W39,,No,Only collect hours worked whilst serving,2022-03-15,Written,Anonymus MP (1),House of Commons,Members,Witness,p3,Between which dates did the employment occur / Was the work carried out prior to being elected ,Employment and earnings,,Raises point about earnings paid post election for work carried out prior to this,https://committees.parliament.uk/writtenevidence/107004/default/
W40,,No,,2022-03-15,Written,,Unlock Democracy,,Witness,p2,What are the contractual terms of the outside employment,Employment and earnings,,Discusses publishing contracts for full transparency,https://committees.parliament.uk/writtenevidence/106945/pdf/
W41,W19,Duplicate,,2022-03-15,Written,,Unlock Democracy,,Witness,p2,"Is the paid work to provide services as a parliamentary strategist, adviser or consultant.",Employment and earnings,,,https://committees.parliament.uk/writtenevidence/106945/pdf/
W42,W11,Duplicate,,2022-03-15,Written,,Unlock Democracy,,Witness,p3,Is employment or earning from a political party,Employment and earnings,,,https://committees.parliament.uk/writtenevidence/106945/pdf/
W43,W7,Duplicate,,2022-03-15,Written,,Unlock Democracy,,Witness,p4,Was the member acting as government trade envoy,Gifts benefits and hospitality from UK sources,,,https://committees.parliament.uk/writtenevidence/106945/pdf/
W44,O4,Duplicate,,2022-03-15,Written,,Unlock Democracy,,Witness,p5,What are the number of hours spent on second jobs,Employment and earnings,,,https://committees.parliament.uk/writtenevidence/106945/pdf/
W45,O19,Duplicate,,2022-03-15,Written,,Unlock Democracy,,Witness,p5,How often is the information gathered/published,Multiple/all categories,"Data capture, storage and standards; Compliance ",,https://committees.parliament.uk/writtenevidence/106945/pdf/
W46,W12,Duplicate,,2022-03-15,Written,,Unlock Democracy,,Witness,p6,Is the register machine readable,Multiple/all categories,"Data capture, storage and standards ",,https://committees.parliament.uk/writtenevidence/106945/pdf/
W47,W22,Duplicate,,2022-03-15,Written,,Unlock Democracy,,Witness,p6,Which declaration does the interest relate to,Multiple/all categories,Linking to other data sets or systems ,Discusses linking to mentions in House business papers,https://committees.parliament.uk/writtenevidence/106945/pdf/
W48,W19,Duplicate,,2022-03-15,Written,"Solloway, Amanda",House of Commons,Members,Witness,p2,"Is the paid work to provide services as a parliamentary strategist, adviser or consultant.",Employment and earnings,,,https://committees.parliament.uk/writtenevidence/106946/pdf/
W49,O2,Duplicate,,2022-03-15,Written,"Solloway, Amanda",House of Commons,Members,Witness,p3,Conflict between RMFI and Ministerial lists,Multiple/all categories,Different data requirements,,https://committees.parliament.uk/writtenevidence/106946/pdf/
W50,,No,Filed as miscelleneous ,2022-03-15,Written,"Barclay, Steve; Spencer, Mark",HM Government,Chancellor of the Duchy of Lancaster; Leader of the House of Commons,Witness,p7,Which organisation/companies do members hold unpaid directorships or trustee positions for,Miscellaneous,,,https://committees.parliament.uk/writtenevidence/106952/pdf/
W51,,No,Registration not declaration,2022-03-15,Written,"Barclay, Steve; Spencer, Mark",HM Government,Chancellor of the Duchy of Lancaster; Leader of the House of Commons,Witness,p8,"How to provide hyperlinks to ad hoc declarations made when tabling questions or applying for debates, and to  such declarations, or the relevant
interest in a Member’s Register entry",Multiple/all categories,Linking to other data sets or systems ,Which enhancements could be made to online Hansard to link to these where a declaration has been made,https://committees.parliament.uk/writtenevidence/106952/pdf/
W52,O41,Duplicate,,2022-03-15,Written,,Electoral Commission,,Witness,p2,Was a salary received from a political party,Employment and earnings,,"Needs to be clearly marked as a salary when published in the RMFI so that it is clear that it does not fall within the scope of Political Parties, Elections and Referendums Act 2000  PPERA",https://committees.parliament.uk/writtenevidence/106963/pdf/
W53,,No,,2022-03-15,Written,,Electoral Commission,,Witness,p2,"What is the source of the donation / Does the source of the donation fall within the list of impermissible sources set out in the Political
Parties, Elections and Referendums Act 2000 ",Donations and other support; Gifts and benefits from sources outside the UK,,,https://committees.parliament.uk/writtenevidence/106963/pdf/
W54,,No,,2022-03-15,Written,,Electoral Commission,,Witness,p2,Was the Direct support from the Member’s own political party organisation,Donations and other support,,"This is an exemption that currently appears in the Code, but does not appear
in Schedule 7 of PPERA",https://committees.parliament.uk/writtenevidence/106963/pdf/
W55,,No,,2022-03-15,Written,,Electoral Commission,,Witness,p3,Were any gifts or benefits received in the capacity of a Government trade envoy,Gifts and benefits from sources outside the UK,,Useful for the EC to quickly identify benefits that do not fall within the scope of PPERA,https://committees.parliament.uk/writtenevidence/106963/pdf/
W56,,No,,2022-03-15,Written,,Electoral Commission,,Witness,p2,"Under dual system of reporting, EC needs access to the necessary information to fulfil its statutory duties in relation to its register of donations and
regulated transactions (such as loans) to elected office holders, including members.",Multiple/all categories,Linking to other data sets or systems ,,https://committees.parliament.uk/writtenevidence/106963/pdf/
W57,,No,,2022-03-15,Written,,Electoral Commission,,Witness,p1,Were any gifts from a foreign source with a value of over £500 received,Gifts and benefits from sources outside the UK,,"Note: amalgamation of categories distinguishing between UK and non-UK sources of gifts, benefits and hospitality will make it difficult for EC to meet its statutory role.",https://committees.parliament.uk/writtenevidence/106963/pdf/
